a	 -a
ēmansan	 -ē-man-san
ēransan	 -ē-ran-san
ēsansan	 -ē-san-san
y	 -y
k	 -k
h	 -h
hā	 -hā
nā	 -nā
na	 -na
kum	 -kum
hum	 -hum
iyyāk	iyyā-k
iyyāki	iyyā-ki
iyyāh	iyyā-h
iyyāhā	iyyā-hā
iyyānā	iyyā-nā
iyyākum	iyyā-kum
iyyāhum	iyyā-hum
biddī	bidd-ī
biddak	bidd-ak
biddki	bidd-ki
biddo	bidd-o
biddhā	bidd-hā
biddnā	bidd-nā
biddkum	bidd-kum
biddhum	bidd-hum
om	 -o-m
or	 -o-r
os	 -o-s
omi	 -o-m-i
ori	 -o-r-i
osi	 -o-s-i
im	 -im
ir	 -ir
is	 -is
ēm	 -ē-m
ēr	 -ē-r
ēs	 -ē-s
ēman	 -ē-man
ēran	 -ē-ran
ēsan	 -ē-san
ēmi	 -ē-m-i
ēri	 -ē-r-i
ēsi	 -ē-s-i
ēmani	 -ē-man-i
ērani	 -ē-ran-i
ēsani	 -ē-san-i
oman	 -o-man
oran	 -o-ran
osan	 -o-san
omani	 -o-man-i
orani	 -o-ran-i
osani	 -o-san-i
man	 -man
ran	 -ran
san	 -san
wašīm	wašī-m
wašīr	wašī-r
wašīs	wašī-s
wašīman	wašī-man
wašīran	wašī-ran
wašīsan	wašī-san
wāšīm	wāšī-m
wāšīr	wāšī-r
wāšīs	wāšī-s
wāšīman	wāšī-man	
wāšīran	wāšī-ran
wāšīsan	wāšī-san
minkīm	minkī-m
minkīr	minkī-r
minkīs	minkī-s
minkīman	minkī-man
minkīran	minkī-ran
minkīsan	minkī-san
ʕankīm	ʕankī-m
ʕankīr	ʕankī-r
ʕankīs	ʕankī-s
ʕankīman	ʕankī-man
ʕankīran	ʕankī-ran
ʕakīsan	ʕankī-san
atnīm	atnī-m
atnīr	atnī-r
atnīs	atnī-s
atnīman	atnī-man
atnīran	atnī-ran
atnīsan	atnī-san
nkīm	nkī-m
nkīr	nkī-r
nkīs	nkī-s
nkīman	nkī-man
nkīran	nkī-ran
nkīsan	nkī-san
wašīmi	wašī-m-i
wašīri	wašī-r-i
wašīsi	wašī-s-i
wašīmani	wašī-man-i
wašīrani	wašī-ran-i
wašīsani	wašī-san-i
minkīmi	minkī-m-i
minkīri	minkī-r-i
minkīsi	minkī-s-i
minkīmani	minkī-man-i
minkīrani	minkī-ran-i
minkīsani	minkī-san-i
atnīmi	atnī-m-i
atnīri	atnī-r-i
atnīsi	atnī-s-i
atnīmani	atnī-man-i
atnīrani	atnī-ran-i
atnīsani	atnī-san-i
nkīmi	nkī-m-i
nkīri	nkī-r-i
nkīsi	nkī-s-i
nkīmani	nkī-man-i
nkīrani	nkī-ran-i
nkīsani	nkī-san-i
eras	er-as
era	er-a
eran	er-an
eraske	er-as-ke
erake	er-a-ke
eranke	er-an-ke
erasma	er-as-ma
erama	er-a-ma
eranma	er-an-ma
erasta	er-as-ta
erata	er-a-ta
eranta	er-an-ta
erassan	er-as-san
erasan	er-a-san
eransan	er-an-san
eraski	er-as-ki
eraki	er-a-ki
eranki	er-an-ki
ōras	ōr-as
ōra	ōr-a
ōran	ōr-an
ōraske	ōr-as-ke
ōrake	ōr-a-ke
ōranke	ōr-an-ke
ōrasma	ōr-as-ma
ōrama	ōr-a-ma
ōranma	ōr-an-ma
ōrasta	ōr-as-ta
ōrata	ōr-a-ta
ōranta	ōr-an-ta
ōrassan	ōr-as-san
ōrasan	ōr-a-san
ōransan	ōr-an-san
ōraski	ōr-as-ki
ōraki	ōr-a-ki
ōranki	ōr-an-ki
kateta	kate-ta
kateti	kate-ti
katete	kate-te
haṭeta	haṭe-ta
haṭeti	haṭe-ti
haṭete	haṭe-te
kiyik	kiy-ik
kānik	kān-ik
am	- -am
ar	- -ar
an	- -an
as	- -as
and	- -and
ad	- -ad
ami	- -am-i
ēk	- -ēk
ari	- -ar-i
ani	- -an-i
asi	- -as-i
andi	- -and-i
adi	- -ad-i
ama	- -am-a
ēya	- -ēy-a
ara	- -ar-a
ana	- -an-a
asa	- -as-a
anda	- -and-a
ada	- -ad-a
amir	- -am-ir
amis	- -am-is
amman	- -am-man
amran	- -am-ran
amsan	- -am-san
ēm	- -ē-m
ēs	- -ē-s
ēman	- -ē-man
ēran	- -ē-ran
ēsan	- -ē-san
arim	- -ar-im
arir	- -ar-ir
aris	- -ar-is
arman	- -ar-man
arran	- -ar-ran
arsan	- -ar-san
anim	- -an-im
anir	- -an-ir
anis	- -an-is
anran	- -an-ran
ansan	- -an-san
asim	- -as-im
asir	- -as-ir
asis	- -as-is
asman	- -as-man
asran	- -as-ran
assan	- -as-san
adim	- -ad-im
adir	- -ad-ir
adis	- -ad-is
adman	- -ad-man
adran	- -ad-ran
adsan	- -ad-san
amri	- -am-r-i
amsi	- -am-s-i
ammani	- -am-man-i
amrani	- -am-ran-i
amsani	- -am-san-i
ēmi	- -ē-m-i
ēsi	- -ē-s-i
ēmani	- -ē-man-i
ērani	- -ē-ran-i
ēsani	- -ē-san-i
armi	- -ar-m-i
arri	- -ar-r-i
arsi	- -ar-s-i
armani	- -ar-man-i
arrani	- -ar-ran-i
arsani	- -ar-san-i
anmi	- -an-m-i
anri	- -an-r-i
ansi	- -an-s-i
anrani	- -an-ran-i
ansani	- -an-san-i
asmi	- -as-m-i
asri	- -as-r-i
assi	- -as-s-i
asmani	- -as-man-i
asrani	- -as-ran-i
assani	- -as-san-i
admi	- -ad-m-i
adri	- -ad-r-i
adsi	- -ad-s-i
admani	- -ad-man-i
adrani	- -ad-ran-i
adsani	- -ad-san-i
amira	- -am-ir-a
amisa	- -am-is-a
ammana	- -am-man-a
amrana	- -am-ran-a
amsana	- -am-san-a
ēma	- -ē-m-a
ēsa	- -ē-s-a
ēmana	- -ē-man-a
ērana	- -ē-ran-a
ēsana	- -ē-san-a
arma	- -ar-m-a
arra	- -ar-r-a
arsa	- -ar-s-a
armana	- -ar-man-a
arrana	- -ar-ran-a
arsana	- -ar-san-a
anma	- -an-m-a
anra	- -an-r-a
ansa	- -an-s-a
anrana	- -an-ran-a
ansana	- -an-san-a
asma	- -as-m-a
asra	- -as-r-a
assa	- -as-s-a
asmana	- -as-man-a
asrana	- -as-ran-a
assana	- -as-san-a
adma	- -ad-m-a
adra	- -ad-r-a
adsa	- -ad-s-a
admana	- -ad-man-a
adrana	- -ad-ran-a
adsana	- -ad-san-a
nawam	- -naw-am
nawar	- -naw-ar
nawan	- -naw-an
nawas	- -naw-as
nawand	- -naw-and
nawad	- -naw-ad
nawami	- -naw-am-i
nawēk	- -naw-ēk
nawari	- -naw-ar-i
nawani	- -naw-an-i
nawasi	- -naw-as-i
nawandi	- -naw-and-i
nawadi	- -naw-ad-i
nawama	- -naw-am-a
nawēya	- -naw-ēy-a
nawara	- -naw-ar-a
nawana	- -naw-an-a
nawasa	- -naw-as-a
nawanda	- -naw-and-a
nawada	- -naw-ad-a
nawamir	- -naw-am-ir
nawamis	- -naw-am-is
nawamman	- -naw-am-man
nawamran	- -naw-am-ran
nawamsan	- -naw-am-san
nawēm	- -naw-ē-m
nawēs	- -naw-ē-s
nawnawēman	- -naw-naw-ē-man
nawēran	- -naw-ē-ran
nawēsan	- -naw-ē-san
nawarim	- -naw-ar-im
nawarir	- -naw-ar-ir
nawaris	- -naw-ar-is
nawarman	- -naw-ar-man
nawarran	- -naw-ar-ran
nawarsan	- -naw-ar-san
nawanim	- -naw-an-im
nawanir	- -naw-an-ir
nawanis	- -naw-an-is
nawanran	- -naw-an-ran
nawansan	- -naw-an-san
nawasim	- -naw-as-im
nawasir	- -naw-as-ir
nawasis	- -naw-as-is
nawasman	- -naw-as-man
nawasran	- -naw-as-ran
nawassan	- -naw-as-san
nawadim	- -naw-ad-im
nawadir	- -naw-ad-ir
nawadis	- -naw-ad-is
nawadman	- -naw-ad-man
nawadran	- -naw-ad-ran
nawadsan	- -naw-ad-san
nawamri	- -naw-am-r-i
nawamsi	- -naw-am-s-i
nawammani	- -naw-am-man-i
nawamrani	- -naw-am-ran-i
nawamsani	- -naw-am-san-i
nawēmi	- -naw-ē-m-i
nawēsi	- -naw-ē-s-i
nawēmani	- -naw-ē-man-i
nawērani	- -naw-ē-ran-i
nawēsani	- -naw-ē-san-i
nawarmi	- -naw-ar-m-i
nawarri	- -naw-ar-r-i
nawarsi	- -naw-ar-s-i
nawarmani	- -naw-ar-man-i
nawarrani	- -naw-ar-ran-i
nawarsani	- -naw-ar-san-i
nawanmi	- -naw-an-m-i
nawanri	- -naw-an-r-i
nawansi	- -naw-an-s-i
nawanrani	- -naw-an-ran-i
nawansani	- -naw-an-san-i
nawasmi	- -naw-as-m-i
nawasri	- -naw-as-r-i
nawassi	- -naw-as-s-i
nawasmani	- -naw-as-man-i
nawasrani	- -naw-as-ran-i
nawassani	- -naw-as-san-i
nawadmi	- -naw-ad-m-i
nawadri	- -naw-ad-r-i
nawadsi	- -naw-ad-s-i
nawadmani	- -naw-ad-man-i
nawadrani	- -naw-ad-ran-i
nawadsani	- -naw-ad-san-i
nawamira	- -naw-am-ir-a
nawamisa	- -naw-am-is-a
nawammana	- -naw-am-man-a
nawamrana	- -naw-am-ran-a
nawamsana	- -naw-am-san-a
nawēma	- -naw-ē-m-a
nawēsa	- -naw-ē-s-a
nawēmana	- -naw-ē-man-a
nawērana	- -naw-ē-ran-a
nawēsana	- -naw-ē-san-a
nawarma	- -naw-ar-m-a
nawarra	- -naw-ar-r-a
nawarsa	- -naw-ar-s-a
nawarmana	- -naw-ar-man-a
nawarrana	- -naw-ar-ran-a
nawarsana	- -naw-ar-san-a
nawanma	- -naw-an-m-a
nawanra	- -naw-an-r-a
nawansa	- -naw-an-s-a
nawanrana	- -naw-an-ran-a
nawansana	- -naw-an-san-a
nawasma	- -naw-as-m-a
nawasra	- -naw-as-r-a
nawassa	- -naw-as-s-a
nawasmana	- -naw-as-man-a
nawasrana	- -naw-as-ran-a
nawassana	- -naw-as-san-a
nawadma	- -naw-ad-m-a
nawadra	- -naw-ad-r-a
nawadsa	- -naw-ad-s-a
nawadmana	- -naw-ad-man-a
nawadrana	- -naw-ad-ran-a
nawadsana	- -naw-ad-san-a
kam	- -k-am
kar	- -k-ar
kan	- -k-an
kas	- -k-as
kand	- -k-and
kad	- -k-ad
kami	- -k-am-i
kēk	- -k-ēk
kari	- -k-ar-i
kani	- -k-an-i
kasi	- -k-as-i
kandi	- -k-and-i
kadi	- -k-ad-i
kama	- -k-am-a
kēya	- -k-ēy-a
kara	- -k-ar-a
kana	- -k-an-a
kasa	- -k-as-a
kanda	- -k-and-a
kada	- -k-ad-a
kamir	- -k-am-ir
kamis	- -k-am-is
kamman	- -k-am-man
kamran	- -k-am-ran
kamsan	- -k-am-san
kēm	- -k-ē-m
kēs	- -k-ē-s
kēman	- -k-ē-man
kēran	- -k-ē-ran
kēsan	- -k-ē-san
karim	- -k-ar-im
karir	- -k-ar-ir
karis	- -k-ar-is
karman	- -k-ar-man
karran	- -k-ar-ran
karsan	- -k-ar-san
kanim	- -k-an-im
kanir	- -k-an-ir
kanis	- -k-an-is
kanran	- -k-an-ran
kansan	- -k-an-san
kasim	- -k-as-im
kasir	- -k-as-ir
kasis	- -k-as-is
kasman	- -k-as-man
kasran	- -k-as-ran
kassan	- -k-as-san
kadim	- -k-ad-im
kadir	- -k-ad-ir
kadis	- -k-ad-is
kadman	- -k-ad-man
kadran	- -k-ad-ran
kadsan	- -k-ad-san
kamri	- -k-am-r-i
kamsi	- -k-am-s-i
kammani	- -k-am-man-i
kamrani	- -k-am-ran-i
kamsani	- -k-am-san-i
kēmi	- -k-ē-m-i
kēsi	- -k-ē-s-i
kēmani	- -k-ē-man-i
kērani	- -k-ē-ran-i
kēsani	- -k-ē-san-i
karmi	- -k-ar-m-i
karri	- -k-ar-r-i
karsi	- -k-ar-s-i
karmani	- -k-ar-man-i
karrani	- -k-ar-ran-i
karsani	- -k-ar-san-i
kanmi	- -k-an-m-i
kanri	- -k-an-r-i
kansi	- -k-an-s-i
kanrani	- -k-an-ran-i
kansani	- -k-an-san-i
kasmi	- -k-as-m-i
kasri	- -k-as-r-i
kassi	- -k-as-s-i
kasmani	- -k-as-man-i
kasrani	- -k-as-ran-i
kassani	- -k-as-san-i
kadmi	- -k-ad-m-i
kadri	- -k-ad-r-i
kadsi	- -k-ad-s-i
kadmani	- -k-ad-man-i
kadrani	- -k-ad-ran-i
kadsani	- -k-ad-san-i
kamira	- -k-am-ir-a
kamisa	- -k-am-is-a
kammana	- -k-am-man-a
kamrana	- -k-am-ran-a
kamsana	- -k-am-san-a
kēma	- -k-ē-m-a
kēsa	- -k-ē-s-a
kēmana	- -k-ē-man-a
kērana	- -k-ē-ran-a
kēsana	- -k-ē-san-a
karma	- -k-ar-m-a
karra	- -k-ar-r-a
karsa	- -k-ar-s-a
karmana	- -k-ar-man-a
karrana	- -k-ar-ran-a
karsana	- -k-ar-san-a
kanma	- -k-an-m-a
kanra	- -k-an-r-a
kansa	- -k-an-s-a
kanrana	- -k-an-ran-a
kansana	- -k-an-san-a
kasma	- -k-as-m-a
kasra	- -k-as-r-a
kassa	- -k-as-s-a
kasmana	- -k-as-man-a
kasrana	- -k-as-ran-a
kassana	- -k-as-san-a
kadma	- -k-ad-m-a
kadra	- -k-ad-r-a
kadsa	- -k-ad-s-a
kadmana	- -k-ad-man-a
kadrana	- -k-ad-ran-a
kadsana	- -k-ad-san-a
šam	- -š-am
šar	- -š-ar
šan	- -š-an
šas	- -š-as
šand	- -š-and
šad	- -š-ad
šami	- -š-am-i
šēk	- -š-ēk
šī	- -š-ī
šari	- -š-ar-i
šani	- -š-an-i
šasi	- -š-as-i
šandi	- -š-and-i
šadi	- -š-ad-i
šama	- -š-am-a
šēya	- -š-ēy-a
šara	- -š-ar-a
šana	- -š-an-a
šasa	- -š-as-a
šanda	- -š-and-a
šada	- -š-ad-a
ōšam	- -ōš-am
ōšar	- -ōš-ar
ōšan	- -ōš-an
ōšas	- -ōš-as
ōšand	- -ōš-and
ōšad	- -ōš-ad
ōšami	- -ōš-am-i
ōšēk	- -ōš-ēk
ōšī	- -ōš-ī
ōšari	- -ōš-ar-i
ōšani	- -ōš-an-i
ōšasi	- -ōš-as-i
ōšandi	- -ōš-and-i
ōšadi	- -ōš-ad-i
ōšama	- -ōš-am-a
ōšēya	- -ōš-ēy-a
ōšara	- -ōš-ar-a
ōšana	- -ōš-an-a
ōšasa	- -ōš-as-a
ōšanda	- -ōš-and-a
ōšada	- -ōš-ad-a
hōšam	- -h-ōš-am
hōšar	- -h-ōš-ar
hōšan	- -h-ōš-an
hōšas	- -h-ōš-as
hōšand	- -h-ōš-and
hōšad	- -h-ōš-ad
hōšami	- -h-ōš-am-i
hōšēk	- -h-ōš-ēk
hōšī	- -h-ōš-ī
hōšari	- -h-ōš-ar-i
hōšani	- -h-ōš-an-i
hōšasi	- -h-ōš-as-i
hōšandi	- -h-ōš-and-i
hōšadi	- -h-ōš-ad-i
hōšama	- -h-ōš-am-a
hōšēya	- -h-ōš-ēy-a
hōšara	- -h-ōš-ar-a
hōšana	- -h-ōš-an-a
hōšasa	- -h-ōš-as-a
hōšanda	- -h-ōš-and-a
hōšada	- -h-ōš-ad-a
om	- -om
ok	- -ok
or	- -or
on	- -on
os	- -os
od	- -od
ond	- -ond
omi	- -om-i
ok	- -ok
ori	- -or-i
oni	- -on-i
osi	- -os-i
odi	- -od-i
ondi	- -ond-i
oma	- -om-a
ora	- -or-a
ona	- -on-a
osa	- -os-a
onda	- -ond-a
oda	- -od-a
omir	- -om-ir
omis	- -om-is
omman	- -om-man
omran	- -om-ran
omsan	- -om-san
oym	- -oy-m
oys	- -oy-s
oman	- -o-man
oran	- -o-ran
osan	- -o-san
orim	- -or-im
orir	- -or-ir
oris	- -or-is
orman	- -or-man
orran	- -or-ran
orsan	- -or-san
onim	- -on-im
onir	- -on-ir
onis	- -on-is
onran	- -on-ran
onsan	- -on-san
osim	- -os-im
osir	- -os-ir
osis	- -os-is
osman	- -os-man
osran	- -os-ran
ossan	- -os-san
odim	- -od-im
odir	- -od-ir
odis	- -od-is
odman	- -od-man
odran	- -od-ran
odsan	- -od-san
omri	- -om-r-i
omsi	- -om-s-i
ommani	- -om-man-i
omrani	- -om-ran-i
omsani	- -om-san-i
omi	- -o-m-i
osi	- -o-s-i
omani	- -o-man-i
orani	- -o-ran-i
osani	- -o-san-i
ormi	- -or-m-i
orri	- -or-r-i
orsi	- -or-s-i
ormani	- -or-man-i
orrani	- -or-ran-i
orsani	- -or-san-i
onmi	- -on-m-i
onri	- -on-r-i
onsi	- -on-s-i
onrani	- -on-ran-i
onsani	- -on-san-i
osmi	- -os-m-i
osri	- -os-r-i
ossi	- -os-s-i
osmani	- -os-man-i
osrani	- -os-ran-i
ossani	- -os-san-i
odmi	- -od-m-i
odri	- -od-r-i
odsi	- -od-s-i
odmani	- -od-man-i
odrani	- -od-ran-i
odsani	- -od-san-i
omira	- -om-ir-a
omisa	- -om-is-a
ommana	- -om-man-a
omrana	- -om-ran-a
omsana	- -om-san-a
oma	- -o-m-a
osa	- -o-s-a
omana	- -o-man-a
orana	- -o-ran-a
osana	- -o-san-a
orma	- -or-m-a
orra	- -or-r-a
orsa	- -or-s-a
ormana	- -or-man-a
orrana	- -or-ran-a
orsana	- -or-san-a
onma	- -on-m-a
onra	- -on-r-a
onsa	- -on-s-a
onrana	- -on-ran-a
onsana	- -on-san-a
osma	- -os-m-a
osra	- -os-r-a
ossa	- -os-s-a
osmana	- -os-man-a
osrana	- -os-ran-a
ossana	- -os-san-a
odma	- -od-m-a
odra	- -od-r-a
odsa	- -od-s-a
odmana	- -od-man-a
odrana	- -od-ran-a
odsana	- -od-san-a
de	de
dem	de-m
der	de-r
den	de-n
des	de-s
ded	de-d
dend	de-nd
demi	de-m-i
deri	de-r-i
deni	de-n-i
desi	de-s-i
dedi	de-d-i
dendi	de-nd-i
dema	de-m-a
deya	de-y-a
dera	de-r-a
dena	de-n-a
desa	de-s-a
deda	de-d-a
denda	de-nd-a
demir	de-m-ir
demis	de-m-is
demman	de-m-man
demran	de-m-ran
demsan	de-m-san
derim	de-r-im
derir	de-r-ir
deris	de-r-is
derman	de-r-man
derran	de-r-ran
dersan	de-r-san
denim	de-n-im
denir	de-n-ir
denis	de-n-is
denran	de-n-ran
densan	de-n-san
desim	de-s-im
desir	de-s-ir
desis	de-s-is
desman	de-s-man
desran	de-s-ran
dessan	de-s-san
dedim	de-d-im
dedir	de-d-ir
dedis	de-d-is
dedman	de-d-man
dedran	de-d-ran
dedsan	de-d-san
demri	de-m-r-i
demsi	de-m-s-i
demmani	de-m-man-i
demrani	de-m-ran-i
demsani	de-m-san-i
dermi	de-r-m-i
derri	de-r-r-i
dersi	de-r-s-i
dermani	de-r-man-i
derrani	de-r-ran-i
dersani	de-r-san-i
denmi	de-n-m-i
denri	de-n-r-i
densi	de-n-s-i
denrani	de-n-ran-i
densani	de-n-san-i
desmi	de-s-m-i
desri	de-s-r-i
dessi	de-s-s-i
desmani	de-s-man-i
desrani	de-s-ran-i
dessani	de-s-san-i
dedmi	de-d-m-i
dedri	de-d-r-i
dedsi	de-d-s-i
dedmani	de-d-man-i
dedrani	de-d-ran-i
dedsani	de-d-san-i
demira	de-m-ir-a
demisa	de-m-is-a
demmana	de-m-man-a
demrana	de-m-ran-a
demsana	de-m-san-a
derma	de-r-m-a
derra	de-r-r-a
dersa	de-r-s-a
dermana	de-r-man-a
derrana	de-r-ran-a
dersana	de-r-san-a
denma	de-n-m-a
denra	de-n-r-a
densa	de-n-s-a
denrana	de-n-ran-a
densana	de-n-san-a
desma	de-s-m-a
desra	de-s-r-a
dessa	de-s-s-a
desmana	de-s-man-a
desrana	de-s-ran-a
dessana	de-s-san-a
dedma	de-d-m-a
dedra	de-d-r-a
dedsa	de-d-s-a
dedmana	de-d-man-a
dedrana	de-d-ran-a
dedsana	de-d-san-a
dom	- -d-om
dor	- -d-or
da	- -d-a
di	- -d-i
dēn	- -d-ēn
dēs	- -d-ēs
de	- -d-e
domi	- -d-om-i
dori	- -d-or-i
dēk	- -d-ēk
dik	- -d-ik
dēni	- -d-ēn-i
dēsi	- -d-ēs-i
dēdi	- -d-ēd-i
doma	- -d-om-a
dora	- -d-or-a
dēya	- -d-ēy-a
dīya	- -d-īy-a
dēna	- -d-ēn-a
dēsa	- -d-ēs-a
dēda	- -d-ēd-a
domir	- -d-om-ir
domis	- -d-om-is
dorim	- -d-or-im
doris	- -d-or-is
dosim	- -d-os-im
dosir	- -d-os-ir
dosis	- -d-os-is
dēnim	- -d-ēn-im
dēnir	- -d-ēn-ir
dēnis	- -d-ēn-is
dēsim	- -d-ēs-im
dēsir	- -d-ēs-ir
dēsis	- -d-ēs-is
dēdim	- -d-ēd-im
dēdir	- -d-ēd-ir
dēdis	- -d-ēd-is
domman	- -d-om-man
domran	- -d-om-ran
domsan	- -d-om-san
dorman	- -d-or-man
dorran	- -d-or-ran
dorsan	- -d-or-san
dosman	- -d-os-man
dosran	- -d-os-ran
dossan	- -d-os-san
dēnman	- -d-ēn-man
dēnran	- -d-ēn-ran
dēnsan	- -d-ēn-san
dēsman	- -d-ēs-man
dēsran	- -d-ēs-ran
dēssan	- -d-ēs-san
dedman	- -d-ed-man
dedran	- -d-ed-ran
dedsan	- -d-ed-san
domri	- -d-om-r-i
domsi	- -d-om-s-i
dormi	- -d-or-m-i
dorsi	- -d-or-s-i
dosmi	- -d-os-m-i
dosri	- -d-os-r-i
dossi	- -d-os-s-i
dēnmi	- -d-ēn-m-i
dēnri	- -d-ēn-r-i
dēnsi	- -d-ēn-s-i
dēsmi	- -d-ēs-m-i
dēsri	- -d-ēs-r-i
dēssi	- -d-ēs-s-i
dedmi	- -d-ed-m-i
dedri	- -d-ed-r-i
dedsi	- -d-ed-s-i
dommani	- -d-om-man-i
domrani	- -d-om-ran-i
domsani	- -d-om-san-i
dormani	- -d-or-man-i
dorrani	- -d-or-ran-i
dorsani	- -d-or-san-i
dosmani	- -d-os-man-i
dosrani	- -d-os-ran-i
dossani	- -d-os-san-i
dēnmani	- -d-ēn-man-i
dēnrani	- -d-ēn-ran-i
dēnsani	- -d-ēn-san-i
dēsmani	- -d-ēs-man-i
dēsrani	- -d-ēs-ran-i
dēssani	- -d-ēs-san-i
dedmani	- -d-ed-man-i
dedrani	- -d-ed-ran-i
dedsani	- -d-ed-san-i
domra	- -d-om-r-a
domsa	- -d-om-s-a
dorma	- -d-or-m-a
dorsa	- -d-or-s-a
dosma	- -d-os-m-a
dosra	- -d-os-r-a
dossa	- -d-os-s-a
dēnma	- -d-ēn-m-a
dēnra	- -d-ēn-r-a
dēnsa	- -d-ēn-s-a
dēsma	- -d-ēs-m-a
dēsra	- -d-ēs-r-a
dēssa	- -d-ēs-s-a
dedma	- -d-ed-m-a
dedra	- -d-ed-r-a
dedsa	- -d-ed-s-a
dommana	- -d-om-man-a
domrana	- -d-om-ran-a
domsana	- -d-om-san-a
dormana	- -d-or-man-a
dorrana	- -d-or-ran-a
dorsana	- -d-or-san-a
